Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,iron
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,11/23/11,11/16/11,7,N,0.5,6.05,6.36,89.9,121,0.17,1.02,0.16,0.148,0.138,0.007,100%,100%,8.3,15,70.00%,2.7
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,11/23/11,11/16/11,7,N,0.5,6.05,6.62,137.7,230,0.15,1.44,0.18,0.042,0.089,0.019,77%,66%,12.62,21,0.00%,14.04
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 026,12/6/11,11/30/11,6,N,,,,,,,,,,,,,,,,,0.269
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 028,12/6/11,11/30/11,6,N,,,,,,,,,,,,,,,,,1.13
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 033,12/6/11,11/30/11,6,N,,,,,,,,,,,,,,,,,0.217
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 054,12/6/11,11/30/11,6,N,,,,,,,,,,,,,,,,,0.053
F,Norwalk Power,Norwalk Harbor Station,103,LIS ,,1472,4911,Y,DSN 011,12/7/11,11/29/11,8,N,1.4,6.8,6.32,30,2.5,0.06,0.48,1.1,0.002,0.054,0.001,100.00%,100.00%,12,19,80.00%,0.148
F,Norwalk Power,Norwalk Harbor Station,103,LIS ,,1472,4911,Y,DSN 029,12/7/11,11/29/11,8,N,1.4,6.8,5.98,41,2.5,0.07,0.46,1.1,0.002,0.054,0.001,100.00%,100.00%,12,19,90.00%,0.149
F,Norwalk Power,Norwalk Harbor Station,103,LIS ,,1472,4911,Y,DSN 035,12/7/11,11/29/11,8,N,1.4,6.5,7.4,12,2.5,0.08,0.43,0.19,0.003,0.004,0.004,100.00%,100.00%,24,67,100.00%,0.364
F,Norwalk Power,Norwalk Harbor Station,103,LIS ,,1472,4911,Y,DSN 036,12/7/11,11/29/11,8,N,1.4,6.7,7.7,14,2.5,0.08,0.46,0.19,0.003,0.004,0.004,100.00%,100.00%,22,63,100.00%,0.368
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,8/5/12,7/27/12,9,N,,,,,,,,,,,,,,,,,0.28
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,8/5/12,7/27/12,9,N,,,,,,,,,,,,,,,,,0.22
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,Y,Discharge 026,8/10/12,8/6/12,4,N,,,,,,,,,,,,,,,,,0.219
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,Y,Discharge 028,8/10/12,8/6/12,4,N,,,,,,,,,,,,,,,,,2.03
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 033,8/10/12,8/6/12,4,N,,,,,,,,,,,,,,,,,0.304
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,Y,Discharge 054,8/10/12,8/6/12,4,N,,,,,,,,,,,,,,,,,0.335
F,Milford Power Company LLC,Milford Power Company LLC,84,Housatonic River,,1726,4911,N,DIS 002,9/19/12,9/15/12,4,N,,6.85,,,,,,,,,,,,,,,0.119
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 005,7/19/12,7/15/12,4,N,,4.3,7.6,,,,,,,,,,,,,,0.25
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 007A,7/19/12,7/15/12,4,N,,4.3,6.3,,,,,,,,,,,,,,1.67
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 009,7/19/12,7/15/12,4,N,,4.3,7.5,,,,,,,,,,,,,,2.09
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 011,7/19/12,7/15/12,4,N,,4.3,8.1,,,,,,,,,,,,,,0.25
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012,7/19/12,7/15/12,4,N,,4.3,6.3,,,,,,,,,,,,,,1.1
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012A,7/19/12,7/15/12,4,N,,4.3,6.8,,,,,,,,,,,,,,0.52
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 015,7/19/12,7/15/12,4,N,,4.7,7.1,,,,,,,,,,,,,,1.174
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 016,8/10/12,8/6/12,4,N,,4.7,7.2,,,,,,,,,,,,,,0.358
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 020A,8/10/12,8/6/12,4,N,,4.7,8.2,,,,,,,,,,,,,,0.637
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 022,7/19/12,7/15/12,4,N,,4.3,6.3,,,,,,,,,,,,,,0.44
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 024,7/19/12,7/15/12,4,N,,4.7,7.3,,,,,,,,,,,,,,0.59
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 027,8/10/12,8/6/12,4,N,,4.7,7.3,,,,,,,,,,,,,,0.453
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 030,7/19/12,7/15/12,4,N,,4.3,6.8,,,,,,,,,,,,,,1.12
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 032,8/10/12,8/6/12,4,N,,4.7,7.3,,,,,,,,,,,,,,0.327
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,11,7/26/12,7/20/12,6,N,0.7,,7.52,43,2.5,0.32,1.54,2.48,0.018,0.089,0.009,100.00%,100.00%,28,97,100.00%,2.05
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,DDB 029,7/26/12,7/20/12,6,N,0.7,,7.65,5,2.5,0.07,0.36,2.5,0.0025,0.023,0.001,100.00%,100.00%,20,97,100.00%,0.231
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,35,7/26/12,7/20/12,6,N,0.7,,7.72,5,2.5,0.11,0.35,2.48,0.0025,0.005,0.001,100.00%,,20,99,100.00%,0.169
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,36,7/26/12,7/20/12,6,N,0.7,,7.05,28,42,0.21,1.27,0.42,0.015,0.023,0.014,100.00%,,24,89,100.00%,2.04
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,8/5/12,7/27/12,9,N,,,,,,,,,,,,,,,,,2.2
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 002,8/10/12,8/6/12,4,N,,,,,,,,,,,,,,,,,0.15
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,8/10/12,8/6/12,4,N,,,,,,,,,,,,,,,,,0.13
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 001,3/16/12,2/29/12,16,N,1,7.4,7.6,5,2,0.03,0.3,0.2,0.005,0.015,0.015,,,,,,0.32
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 004,3/16/12,2/29/12,16,N,2.8,7.4,7.5,63,21,0.05,0.91,1.1,0.022,0.401,0.015,,,,,,1.11
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 007,3/16/12,2/29/12,16,N,1,7.4,7.9,5,3,0.03,0.33,0.2,0.005,0.08,0.015,,,,,,0.57
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 009,3/16/12,2/29/12,16,N,1,7.4,7.6,5,1,0.03,0.18,0.2,0.01,0.123,0.015,,,,,,0.49
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 010,3/16/12,2/29/12,16,N,1,7.4,7.7,5,12,0.03,0.09,0.6,0.012,0.09,0.015,,,,,,2.1
F,Milford Power Company LLC,,84,Housatonic River,,1726,4911,,DSN 002,3/3/12,2/29/12,3,N,,,,,,,,,,,,,,,,,0.545
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN 004-1,2/24/12,2/17/12,7,N,,,,,,,,,,,,,,,,,0.014
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN 006-1,2/24/12,2/17/12,7,N,,,,,,,,,,,,,,,,,0.518
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-013-1,2/24/12,2/17/12,7,N,,,,,,,,,,,,,,,,,0.981
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN 0018-1A,2/24/12,2/17/12,7,N,,,,,,,,,,,,,,,,,0.152
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 002,2/29/12,2/24/12,5,N,,,,,,,,,,,,,,,,,1.23
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,2/29/12,2/24/12,5,N,0.5,6.24,7.74,0.5,12,0.17,1.02,2.04,0.021,0.028,0.001,100.00%,100.00%,169.6,1166,90.00%,0.59
F,CDECCA,,64,Park River,,231,4911,,Fuel Oil Outfall #2 SD,1/12/12,1/4/12,8,N,1.4,6.2,7.32,28.2,13,0.11,0.36,0.1,0.005,0.06,0.01,100.00%,100.00%,334,46100,100.00%,5.71
F,CDECCA,,64,Park River,4400,231,4911,,West Roof Drain,1/12/12,1/4/12,8,N,0.5,6.04,6.79,1,2,0.03,0.2,0.1,0.005,0.1,0.01,100.00%,100.00%,12.6,57.6,100.00%,0.01
F,Bridgeport Energy,,15,Bridgeport Harbor,,1119,4911,Y,MH-1,1/12/12,1/1/12,11,N,1,6.8,6.7,5,3,0.03,0.48,0.05,0.013,0.015,0.015,100.00%,100.00%,14,289,100.00%,0.25
F,Bridgeport Energy,,15,Bridgeport Harbor,,1119,4911,Y,SC-1,1/12/12,1/1/12,11,N,1,6.8,6.6,5,9,0.06,1.79,6.12,0.026,0.249,0.015,100.00%,100.00%,8,87,75.00%,0.67
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,3/25/12,3/16/12,9,N,,,,,,,,,,,,,,,,,0.52
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,3/25/12,3/16/12,9,N,,,,,,,,,,,,,,,,,0.24
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,3/25/12,3/16/12,9,N,,,,,,,,,,,,,,,,,0.57
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 005,3/13/12,3/9/12,4,N,,5.2,6.6,,,,,,,,,,,,,,1.22
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 009,3/13/12,3/9/12,4,N,,5.2,6.3,,,,,,,,,,,,,,0.131
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 011,3/13/12,3/9/12,4,N,,5.2,7,,,,,,,,,,,,,,0.383
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 012,3/13/12,3/9/12,4,N,,5.2,7,,,,,,,,,,,,,,1.4
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 012A,3/13/12,3/9/12,4,N,,5.2,7.3,,,,,,,,,,,,,,0.717
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 015,3/13/12,3/9/12,4,N,,5.2,6.9,,,,,,,,,,,,,,0.932
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 016,3/13/12,3/9/12,4,N,,5.2,7.2,,,,,,,,,,,,,,0.228
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 020A,3/28/12,3/25/12,3,N,,4.6,8.3,,,,,,,,,,,,,,0.15
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 022,3/13/12,3/9/12,4,N,,5.2,8,,,,,,,,,,,,,,0.187
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 024,3/13/12,3/9/12,4,N,,5.2,7.7,,,,,,,,,,,,,,1.22
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 027,3/13/12,3/9/12,4,N,,5.2,7,,,,,,,,,,,,,,1.85
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 030,3/13/12,3/9/12,4,N,,5.2,6.9,,,,,,,,,,,,,,0.09
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,LIS-Jordan Cove,,1430,4911,Y,DSN 032,3/28/12,3/25/12,3,N,,4.6,7.7,,,,,,,,,,,,,,2.88
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 026,3/28/12,3/3/12,25,N,0.7,5,6.8,98,11,0.07,2.72,2.7,0.138,0.437,0.212,,,,,,0.56
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 028,3/28/12,3/3/12,25,N,8.1,5,10.9,116,1900,4.07,5.7,0.63,0.383,0.743,0.703,,,,,,154
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 033,3/28/12,3/3/12,25,N,0.7,5,6.4,20,17,0.08,1.76,0.59,0.019,0.123,0.007,,,,,,0.904
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 054,3/28/12,3/3/12,25,N,0.7,5,6.8,20,17,0.08,1.76,0.59,0.019,0.123,0.007,,,,,,0.904
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 026,9/23/12,9/19/12,4,N,0.7,5.3,7,27,2.5,0.005,0.43,0.17,0.005,0.072,0.018,,,,,,0.049
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 028,9/23/12,9/19/12,4,N,8.1,5.3,6.5,46,52,0.13,1.02,0.41,0.038,0.406,0.102,,,,,,3.27
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 033,9/23/12,9/19/12,4,N,0.7,5.3,5.4,31,2.5,0.03,0.88,0.33,0.016,0.053,0.001,,,,,,0.253
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 054,9/23/12,9/19/12,4,N,0.7,5.3,5.8,33,17,0.03,0.74,0.69,0.009,0.134,0.009,,,,,,0.759
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 026,11/27/12,10/29/12,29,N,,,,,,,,,,,,,,,,,0.303
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 028,11/27/12,10/29/12,29,N,,,,,,,,,,,,,,,,,0.208
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 033,11/27/12,10/29/12,29,N,,,,,,,,,,,,,,,,,0.276
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,N,Discharge 054,11/27/12,10/29/12,29,N,,,,,,,,,,,,,,,,,0.089
F,Bridgeport Energy,,15,Bridgeport Harbor,,1119,4911,Y,MH-1,8/27/12,8/18/12,,,1,7.2,7.2,89,14,0.15,5.62,2.03,0.03,0.044,0.015,100.00%,100.00%,127,1348,95.00%,1.32
F,Bridgeport Energy,Bridgeport Energy,15,Bridgeport Harbor,,1119,4911,Y,SC-1,8/27/12,8/18/12,,,1,7.2,7.3,57,26,0.4,6.28,1.91,0.031,0.746,0.015,100.00%,100.00%,105,445,80.00%,0.62
F,CDECCA,CDECCA,64,Park River,4400,231,4911,,Outfall #3 Manhole,8/28/12,8/18/12,,N,9.4,6.03,5.9,26.9,4,0.1,0.96,0.4,0.01,0.05,0.02,,,,,,0.76
F,CDECCA,CDECCA,64,Park River,4400,231,4911,,West Roof Drain,8/28/12,8/18/12,,N,5.8,5.66,5.85,13.8,0.5,0.025,1.32,0.44,0.02,0.41,0.01,,,,,,0.08
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Generation Bldg Roof Drain DSN 002,4/22/12,4/1/12,,N,0.5,6.68,6.8,86,4.5,0.07,1.91,5.4,0.08,2.08,0.01,21.80%,11.70%,50.3,91.6,0.00%,0.29
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Roof Drain #1 DSN 003 Pipe 1,4/22/12,4/1/12,,N,3,6.68,6.48,41.6,8,0.11,1.96,0.58,0.02,0.47,0.01,100.00%,91.70%,12.1,33.9,40.00%,0.53
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Roof Drain #4 DSN 003 Pipe 4,4/22/12,4/1/12,,N,5,6.8,6.74,142.6,11,0.11,2.25,1.1,0.03,0.2,0.01,100.00%,100.00%,43.7,103,95.00%,0.98
F,"AES Thames, LLC","AES Thames, LLC",86,Thames River,,805,4931,,Storm Drain Behind Security,4/22/12,4/1/12,,N,0.5,6.68,6.75,104.4,24.5,0.5,2.87,1.8,0.03,0.84,0.02,100.00%,100.00%,49.1,111.3,70.00%,0.8
F,Bridgeport Energy,Bridgeport Energy,15,Bridgeport Harbor,,1119,4911,Y,MH-1,11/27/12,11/8/12,,N,1,7.8,7.3,124,39,0.09,0.91,0.7,0.097,0.04,0.03,31.90%,15.00%,2885,15670,0.00%,1.6
F,Bridgeport Energy,Bridgeport Energy,15,Bridgeport Harbor,,1119,4911,Y,SC-1,6/12/12,6/7/12,,N,1,,6.6,9,2,0.025,0.74,0.74,0.012,0.583,0.015,,,,,,0.15
F,Bridgeport Energy,Bridgeport Energy,15,Bridgeport Harbor,,1119,4911,Y,SC-1,11/27/12,11/7/12,,N,1,7.7,7.5,56,62,0.12,3.56,1.11,0.074,0.494,0.015,100.00%,64.60%,675,4820,20.00%,1.93
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-004-1,5/1/12,4/26/12,,N,0.7,5.1,8.2,5,2.5,0.26,0.27,0.06,0.0025,0.001,0.001,,,,,,0.061
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-004-1,3/12/13,3/8/13,,N,0.7,5.1,7,5,2.5,0.03,0.22,0.02,0.0025,0.009,0.001,100.00%,100.00%,18,69,100.00%,0.093
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-006-1,5/1/12,4/26/12,,N,0.7,5.1,5.8,32,5,0.06,2.94,2.66,0.089,0.612,0.015,,,,,,0.352
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-006-1,8/1/12,7/28/12,,N,,,,,,,,,,,,,,,,,0.246
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-006-1,10/19/12,10/16/12,,N,0.7,5.59,5.64,10,2.5,0.01,0.41,1.37,0.039,0.614,0.001,,,,,,
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-013-1,5/1/12,4/26/12,,N,0.7,5.1,7,11,7.5,0.04,0.52,0.43,0.006,0.073,0.003,,,,,,0.473
