NAME,rwater,TOWN,BASIN,GSI,SIC,Municipalities,samp_location,samp_date,storm_mag,storm_dur,prev_storm,rain_ph,days_last_storm,o_n_g,samp_ph,cod,tss,tp,tkn,no3,fec_coli,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness
AES Thames Inc.,Thames River,86,,805,4911,N,003 NE corner,10/14/95,0.65,10,10/6/95,7,8,1.6,6.5,19,8,0.1,0.98,1.3,"1,000",0.02,1.01,0.005,1,1,
AES Thames Inc.,Thames River,86,,805,4911,N,001 Ash Silo,10/14/95,0.65,10,10/6/95,7,8,1,7.2,23,95,0.3,0.47,0.2,"7,600",0.02,0.37,0.005,1,1,
AES Thames Inc.,Thames River,86,,805,4911,N,2,10/14/95,0.65,10,10/6/95,7,8,1,7.5,18,54,0.13,1,1.2,100,0.03,0.65,0.005,1,1,
AES Thames Inc.,Thames River,86,,805,4911,N,001 Security Bldg.,10/14/95,0.65,10,10/6/95,7,8,1,8.7,69,181,0.13,0.17,1.2,100,0.03,0.39,0.005,1,1,
AGC Inc,Quinnipiac River,80,,310,3444,N,002s,10/28/96,0.2,0.5,10/21/96,8,7,5,4.2,5,13,0.05,0.22,0.5,10,0.04,0.75,0.03,0.55,0.47,
AGC Inc,Quinnipiac River,80,,310,3444,N,003S,10/28/96,0.2,0.5,10/21/96,8,7,5,6.5,206,568,0.41,1.79,0.4,400,0.08,0.29,0.08,1,1,
Albert Brothers,Naugatuck River,151,,1072,5093,N,Pipe @ E. Aurora St.,6/10/96,1,8,,,,3.2,5.81,94,38,0.07,2,0.8,630,0.14,0.24,0.08,1,0.25,
Alinabal Inc,Indian River,84,,627,3469,N,DSN 002,11/19/96,0.12,3.5,,5,,1,4.39,72,18,0.9,0.72,7.5,"10,000",0.44,0.8,0.05,0.06,0.06,
Alinabal Inc,Indian River,84,,627,3469,N,DSN 001,11/19/96,0.12,3.5,,5,,2.6,6.05,45,24,0.18,0.96,3.1,6,0.07,0.31,0.05,1,0.74,
Allegheny Ludlum Steel,Quinnipiac River,148,,393,3312,N,DSN 007,6/3/96,0.16,4.2,5/16/96,6.3,18,5.6,6.45,22,50,0.12,1.13,0.4,30,0.039,0.08,0.005,1,1,
Allegheny Ludlum Steel,Quinnipiac River,148,,393,3312,N,DSN 002,6/3/96,0.13,4.2,5/16/96,6.3,18,5.6,6.67,15,6,0.11,1.5,0.7,75,0.017,0.173,0.005,1,1,
Allegheny Ludlum Steel,Quinnipiac River,148,,393,3312,N,DSN 009,7/23/96,0.19,5.5,7/13/96,6.9,10,2.4,7.83,15,3,0.05,0.99,1.3,10,0.026,0.114,0.006,1,1,
Allegheny Ludlum Steel,Quinnipiac River,148,,393,3312,N,DSN 008,6/3/96,0.25,4.2,5/16/96,6.3,18,1.6,6.35,35,47,0.16,1.79,0.6,130,0.021,0.144,0.013,1,1,
Allegheny Ludlum Steel,Quinnipiac River,148,,393,3312,N,DSN 003,7/23/96,0.27,5.5,7/13/96,6.9,10,2.4,7.49,19,7,0.17,1.21,2.8,40,0.035,0.207,0.01,1,0.54,
Allied Signal,Judd Brook,25,,841,3812,N,Outfall 001,7/23/96,1.1,11,7/16/96,6,7,5,4.5,5,55,0.03,1.06,0.3,100,0.01,0.03,0.03,1,1,
Alves Precision Engineered Pdts,Wattles Pond,153,,321,3499,N,NW Drain,6/3/96,0.75,1,,5.1,,1,5.47,61,59,0.11,1,0.4,"1,700",0.01,0.04,0.02,0.71,0.71,
Amerada Hess Corp.,Connecticut River,159,,619,5171,Y,Wethersfield Lagon #2,3/20/96,,,,,,4,7,20,1,0.02,0.5,0.9,40,0.005,0.02,0.005,1,1,
Amerada Hess Corp.,Connecticut River,159,,619,5171,Y,Wethersfield Lagon #1,3/20/96,,,,,,4,6.8,5,4,0.02,0.5,0.6,40,0.005,0.1,0.005,1,1,
Amendola General Woodwork,Mill  River,62,,278,2511,Y,Outfall 001,11/26/96,1.8,14,11/12/96,6.5,14,5,6.7,88,101,0.14,0.85,0.6,390,0.02,0.23,0.03,1,1,
Amerada Hess Corp.,Quinnipiac River,93,,618,5171,Y,New Haven Lagoon #1,3/20/96,,,,,,4,7.4,3,23,0.02,0.5,0.8,70,0.005,0.3,0.005,1,1,
Amerbelle Co,Hockanum River,146,,761,2262,N,5,10/4/95,0.1,12,9/28/95,7.24,6,6.5,7.82,103,14,0.82,3.36,1.4,"10,000",0.241,0.538,0.04,0.44,0.38,
Amerbelle Co,Hockanum River,146,,761,2262,N,11,10/4/95,0.1,12,9/28/95,7.24,6,5,7.92,71,16,0.93,2.24,1.4,"10,000",0.298,0.217,0.04,0.06,0.06,
Amerbelle Co,Hockanum River,146,,761,2262,N,18,10/4/95,0.1,12,9/28/95,7.24,6,6.1,6.68,177,49,1.2,6.16,0.2,"10,000",0.05,0.334,0.03,1,1,
Amerbelle Co,Hockanum River,146,,761,2262,N,17,10/4/95,0.1,12,9/28/95,7.24,6,5,6.56,206,42,1.3,6.72,0.3,"10,000",0.054,0.21,0.02,1,1,
Amerbelle Co,Hockanum River,146,,761,2262,N,20,10/4/95,0.1,12,9/28/95,7.24,6,5,6.71,167,31,0.91,5.6,0.2,"10,000",0.033,0.448,0.02,1,0.48,
Amerbelle Corp.,Hockanum River,146,,761,2262,N,DSN 005,7/31/96,0.2,9,7/26/96,6.94,5,5,7.41,64,10,0.33,3.53,0.5,0,0.063,0.305,0.02,0.34,0.21,
Amerbelle Corp.,Hockanum River,146,,761,2262,N,DSN 011,7/31/96,0.2,9,7/26/96,6.94,5,5,7.64,132,65,0.43,4.12,0.8,"8,100",0.584,0.616,0.15,0.27,0.06,
Amerbelle Corp.,Hockanum River,146,,761,2262,N,DSN 017,7/31/96,0.2,9,7/26/96,6.94,5,5,7.11,162,54,0.73,7.64,0.1,"2,400",0.019,0.106,0.02,1,1,
Amerbelle Corp.,Hockanum River,146,,761,2262,N,DSN 020,7/31/96,0.2,9,7/26/96,6.94,5,5,6.62,34,13,0.18,1,0.9,"12,400",0.017,0.296,0.02,1,0.71,
Amerbelle Corp.,Hockanum River,146,,761,2262,N,DSN 018,7/31/96,0.2,9,7/26/96,6.94,5,5,6.92,108,61,0.47,4.12,0.2,"4,800",0.062,0.377,0.04,1,1,
American Electro Products,Naugatuck River,151,,464,3471,N,1,10/8/96,1.18,43,10/1/96,6.5,7,5,6.5,34,18,0.15,0.9,0.8,100,0.05,0.06,0.03,1,1,
American Materials Corp,Mill Brook,11,,898,3532,Y,Outfall 01,10/28/96,0.22,1,10/24/96,6.66,4,1,6.6,54,18,0.18,2.94,0.2,180,0.01,0.05,0.021,1,0.25,
Ametek Specialty Prod.,Wharton Brook,148,,906,3356,N,1,11/7/95,0.8,4,11/3/95,5.6,4,2.4,5.3,29,17,0.1,2.44,1.4,30,0.225,0.212,0.014,0.06,0.06,
Amgraph Pkg,Shetucket River,133,,475,2671,N,1,11/2/95,0.5,2.5,10/28/95,5.4,5,1.2,8.4,1,13,0.03,0.5,0.2,1,0.011,0.093,0.05,0.89,0.57,
Anamet Industrial,Mad River,151,,456,3499,N,CB 83,10/8/96,2.75,12,10/2/96,6,6,1,5.29,26,72,0.5,0.38,1.2,100,0.1,0.16,0.05,0.5,0.12,
Anamet Industrial,Naugatuck River,151,,456,3499,N,CB A,10/8/96,2.75,12,10/2/96,6,6,1,5.79,34,87,0.67,0.77,1.3,100,0.1,2.9,0.05,0.13,0.06,
Anamet Industrial,Naugatuck River,151,,456,3499,N,CB 20,10/8/96,2.75,12,10/2/96,6,6,1.6,6.92,63,180,0.59,0.1,1.3,100,0.09,0.37,0.05,1,1,
Anchor Fasteners,,151,,463,3452,N,,10/8/96,,,,,,5,6.6,49,64,0.2,1.4,0.1,10,0.02,0.12,0.022,1,1,
Anchor Glass Container Corp,Five Mile River,69,,121,3221,N,Outfall #1,11/29/95,0.3,9,,6,,0.2,6.2,15,1,1.5,0.65,1.1,26,0.01,0.84,0.05,1,0.76,
Ano-Coil,Hockanum River,146,,NLD,3471,N,2,10/8/96,1.9,14,10/4/96,7.08,4,4.4,7.08,47,23,0.11,1.86,1.4,15,0.04,0.284,0.053,1,1,
Ano-Coil,Hockanum River,146,,NLD,3471,N,1,10/8/96,1.9,14,10/4/96,7.11,4,2.8,7.11,22,272,0.13,1.2,0.6,25,0.028,0.344,0.049,1,1,
Ano-Coil,Freshwater Brook,49,4003,944,3479,N,1,10/8/96,1.9,14,10/4/96,6.32,4,9.2,6.32,131,23,0.05,2.28,1.5,5,0.118,0.425,0.008,1,0.89,
Ansonia Copper & Brass,Naugatuck River,151,,531,3351,N,DSN 002,10/7/96,1.6,,,6.2,,1,6.6,35,15,0.4,1.82,1.7,"1,300",0.46,0.35,0.021,0.06,0.06,
Ansonia Copper & Brass,Naugatuck River,2,,530,3351,N,Outfall 001,7/23/96,0.2,1,,6,,2.4,7.12,44,20,0.12,0.1,1.8,60,1.63,1.31,0.05,0.06,0.06,
APA Transport Corp,Willow Brook,80,,424,4231,N,NDS-1,10/15/96,,,,,,5,7.2,10,6,0.03,0.9,0.1,30,0.02,0.23,0.03,1,1,
Armoloy of Connecticut,Eightmile River,17,,273,3471,N,Outfall 001,6/3/96,0.68,17,5/21/96,,13,5,4.6,157,257,0.46,3.4,0.9,40,0.08,0.2,0.05,0.71,0.71,
Ascom Hasler-Better Packages,Housatonic River,126,,312,3579,N,Discharge Drain,6/3/96,,,,5.1,,4,4.51,86,5,0.2,2.4,0.3,141,0.01,0.09,0.02,1,1,
Atlantic Equipment Installers,,148,,897,3446,Y,Basin #1,10/21/96,4,24,10/8/96,,13,1,6.79,12,63,0.41,0.28,0.8,100,0.45,0.32,0.05,0.08,0.06,
Atlantic Wire Co,Branford River,14,,250,3315,N,'001-probably composite,11/7/95,0.71,9,11/2/95,4.8,5,4.7,4.8,352,110,0.08,1.23,1.3,1,0.39,7.31,0.05,0.27,0.06,
Ato Haas,,7,,927,3081,N,001-Shipping,10/28/96,0.25,1.5,10/20/96,7,8,5,7.2,20,18,0.11,1,0.5,900,0.05,0.142,0.005,1,1,
Ato Haas,,7,,927,3081,N,002-Rear Lot,10/28/96,0.25,1.5,10/20/96,7,8,5,7.3,93,98,0.17,5.4,0.5,500,0.05,0.15,0.009,1,1,
Autac,,14,,182,3257,Y,,12/18/96,1,2,,,,5,4.3,9,10,0.01,0.06,0.1,10,0.01,0.03,0.03,1,0.77,
Automotive Controls Corp,Branford Harbor,14,,1102,3694,N,Outfall 002,6/24/96,0.18,1.5,6/20/96,6.1,4,4,6,117,106,,3.08,2.2,0,0.117,0.221,,1,1,
Aviation Component Support,Indian Creek,107,,724,3728,N,,10/15/96,1,24,,7.1,,5,7.1,10,6,0.05,0.9,2.5,70,0.02,0.23,0.03,1,1,
A.P.Marquardt,Poquonock River,59,,604,4212,Y,Pipe @ River,10/8/96,5,36,9/30/96,5,8,7,4.6,86,198,1.15,1.7,0.9,420,0.06,0.21,0.03,0.71,0.64,
A.Wimpfeimer&Bro./Am.Velvet,"Tidal Wetland,Stonington Borough",137,,1070,2261,N,SD Catch Basin,5/30/96,0.2,4,5/16/96,5.7,14,3.4,4.8,249,66,0.37,20.7,0.3,0,0.24,1.87,0.068,0.09,0.06,
Balf Co,Hockanum River,77,,233,2951,N,DSN-2A,9/22/96,1.55,17,9/18/96,7,4,2.4,7.31,111,164,0.25,0.67,0.5,700,0.016,0.081,0.005,1,1,
Balf Co,Piper Brook,94,,NLD,1429,N,DSN-005,9/22/96,1.55,17,9/18/96,6,4,2,7.38,13,5,0.04,0.44,3.9,410,0.002,0.03,0.005,1,1,
Balf Co,Piper Brook,94,,NLD,1429,N,DSN-003,9/22/96,1.55,17,9/18/96,6,4,2,7.14,16,5,0.03,0.32,1.2,70,0.001,0.01,0.005,1,1,
Balf Co,Hockanum River,77,,233,2951,N,DSN-003,9/22/96,1.55,17,9/18/96,7,4,2.6,7.52,130,159,0.36,0.9,0.7,"1,300",0.02,0.15,0.005,1,1,
Bayer Corporation,Oyster River,156,,415,2834,N,Outfall#9A,6/4/96,0.84,4,5/28/96,6.5,7,10.6,6.38,119,52,0.2,1.6,0.8,0,0.05,0.05,0.07,0.25,0.12,
Beacon Industries,Sewer,11,,1006,3724,N,SD West,10/2/96,4,6,9/30/96,7,2,3,7.1,23,77,0.03,0.98,0.1,100,0.02,0.1,0.008,1,1,
Beaver Brook Circuits,Sympaug Brook,9,,444,3672,N,D003,9/13/96,0.41,5,9/9/96,5.8,4,1,5.8,15,1,0.32,1.2,0.2,100,0.05,0.07,0.05,1,1,
Beaver Brook Circuits,Sympaug Brook,9,,444,3672,N,D002,9/13/96,0.41,5,9/9/96,5.8,4,1,5.8,29,1,0.26,5.3,0.3,400,0.12,0.07,0.05,0.26,0.16,
Beaver Brook Circuits,Sympaug Brook,9,,444,3672,N,D001,9/13/96,0.41,5,9/9/96,5.73,4,1,5.73,26,12,0.47,2,0.1,"1,600",0.08,0.12,0.05,1,0.85,
Becton Dickinson,Robbins Swamp,21,,224,3841,N,W Side Trailer Lot ,8/13/96,0.48,2,7/31/96,6.14,13,5,6.14,50,19,0.05,1.68,1.1,400,0.133,0.502,0.02,0.11,0.1,
Bedoukian Research,Still River,34,,351,2869,N,3,10/4/95,1.5,50,9/26/95,4.5,8,1,3.8,170,8,0.2,3.7,4.2,1,0.12,5.3,0.15,0.52,0.38,
Bedoukian Research,Still River,34,,351,2869,N,2,10/4/95,1.5,50,9/26/95,4.5,8,1,4.5,84,10,0.2,2.1,2.8,1,0.05,1.1,0.14,0.96,0.68,
"Beiersdorf, Inc",LI Sound,103,,784,2844,N,SW-002,11/7/95,0.6,6,11/2/95,6.21,5,1,6.77,28,356,0.03,1.36,0.1,"2,300",0.06,0.73,0.13,1,1,
"Beiersdorf, Inc",LI Sound,103,,784,2844,N,SW-001,11/7/95,0.6,6,11/2/95,6.21,5,1,6.79,122,13,0.31,0.56,0.8,720,0.05,0.08,0.005,1,1,
"Beiersdorf, Inc",LI Sound,103,,784,2844,N,SW-004,11/7/95,0.6,6,11/2/95,6.21,5,1,7.3,33,15,0.07,0.4,0.4,10,0.05,0.05,0.1,1,1,
BF Goodrich Aerospace,Coginchaug River,83,,259,3728,N,"6"" PVC Pipe",7/23/96,0.17,5,7/20/96,6.6,3,0.4,7.68,15,36,0.06,1.23,1.5,"1,600",0.014,0.043,0.002,1,1,
Bic Corp,Housatonic River,84,,390,3951,N,1,9/13/95,,,,,,5,5.7,125,12,0.27,6.11,3.3,"21,300",0.1,1.51,0.03,0.06,0.06,
BIC Corp,Housatonic River,84,,390,3951,N,Stormwater Outfall 001,7/3/96,0.63,7,6/30/96,6,3,5,6.8,5,4,0.02,0.78,1.6,100,0.02,0.35,0.03,0.74,0.62,
BICC Brand-Rex Company,Willimantic River,163,,744,3357,N,Manholes,9/13/96,2.1,20,9/8/96,6.6,5,3,5.56,61,79,0.07,0.63,0.7,"1,200",0.044,1.18,0.02,0.71,0.33,
Blake Bus Service/Fitzgerald Bus Co,Naugatuck River,2,,OOB,4173,N,1,11/26/96,1.8,14,11/12/96,6.5,14,5,6,77,42,0.31,1.78,0.2,10,0.03,0.2,0.03,0.69,0.67,
Blake Bus Service/Fitzgerald Bus Co,Naugatuck River,2,,OOB,4173,N,2,11/26/96,1.8,14,11/12/96,6.5,14,5,5.8,24,37,0.38,0.78,0.2,10,0.02,0.21,0.03,0.78,0.78,
Blonders,,64,,TRF,5015,Y,,12/1/96,0.55,12,11/26/96,6.4,5,145,7.3,2619,18087,6.92,16,0.1,"18,000",3.96,36.8,21.7,0.06,0.06,
Blonder's Used Auto Parts,Stony Brook,152,,1087,5015,Y,,11/19/96,0.21,8,11/9/96,6.5,10,13,6.76,76,200,0.47,0.1,0.3,"13,000",0.07,0.33,0.27,1,0.55,
BNB Mfg.,Still River,162,,783,3599,N,Outfall A/B,9/17/96,0.57,3,9/13/96,7.83,4,1,7.52,26,1,0.1,0.1,0.1,100,0.05,0.05,0.05,0.14,0.06,
Boehringer Ingelheim,Miry Brook,118,,691,2834,N,South Pond,6/3/96,2.15,18,,5.68,,2.5,7.5,10,4,0.2,1.2,0.1,360,0.005,0.028,0.004,1,1,
Boehringer Ingelheim,Shadow Lake,118,,691,2834,N,Miry Brook,6/3/96,2.15,18,,5.68,,2.5,7,10,10,0.2,1,0.5,420,0.005,0.013,0.004,1,1,
Boehringer Ingelheim,Miry Brook,118,,691,2834,N,North Pond,6/3/96,2.15,18,,5.68,,2.5,7.7,23,20,0.2,1.6,0.1,140,0.005,0.013,0.004,1,1,
Branford Marine Railway,Branford River,14,,1047,4493,Y,,12/6/96,1.5,7,12/1/96,,5,1,6.55,5,64,0.46,0.1,0.1,100,0.26,0.1,0.05,0.08,0.06,
Bass Plating ,Mill Brook,11,,698,3471,N,outfall #1,10/8/96,3,13.5,10/2/96,5.7,6,1,6.56,12,4,0.67,0.1,0.3,100,0.05,0.08,0.05,1,1,
Brewers Dauntless Shipyard River Properties,Connecticut River,50,,862,4493,Y,Southern most drain,10/28/96,0.5,1.5,10/20/96,4.32,8,7,5.8,122,9,0.29,0.3,0.1,580,0.1,0.17,0.004,0.71,0.42,
Brewers Mystic Marine,Mystic River,137,,909,4493,Y,By Dock C,11/26/96,3.1,7.5,11/19/96,4.43,7,1,6.6,34,54,0.42,2.7,2.3,250,0.13,0.1,0.005,0.24,0.18,
Brewers Yacht Haven,Stamford Harbor,135,,1098,4493,Y,,12/17/96,0.5,4,12/10/96,,7,0.5,7.24,126,140,0.06,0.66,0.9,0,0.011,0.005,0.01,0.14,0.11,
Bridgeport Drydock,LI Sound,15,,1043,4493,Y,,10/8/96,3,24,10/2/96,6.6,6,10,6.6,55,23,0.84,37.75,2,160,0.084,0.17,0.026,0.96,0.54,
Bridgeport Machines,Island Brook,15,,810,3541,N,BMI-1 (East Lot),7/23/96,0.3,5,7/19/96,5.67,4,1,5.67,51,23,0.1,4.6,3.1,0,0.05,0.34,0.05,0.35,0.35,
Bridgeport Machines,Island Brook,15,,810,3541,N,BMI-1 (NorthLot),7/23/96,0.3,5,7/19/96,5.67,4,3,5.16,110,9,0.1,4.9,3.1,0,0.07,0.57,0.05,1,1,
Bridgeport RESCO,Cedar Creek,15,,614,4953,N,1,11/7/95,0.6,8.9,11/2/95,6.8,5,8,11.83,521,475,1.02,2.24,0.4,1,0.4,5.86,2.61,0.06,0.06,
Bristol-Myer Squibb,Muddy River,148,,,2834,N,003-From GPS@CUP facility,9/17/96,2.94,36,9/13/96,5.22,4,1.6,7.97,8,2,0.08,1.05,0.4,105,0.021,0.06,0.011,1,1,
Bristol-Myer Squibb,Muddy River,148,,,2834,N,002-Gross particle sep,9/17/96,2.94,36,9/13/96,5.22,4,2.6,7.71,8,1,0.1,1.56,0.4,10,0.009,0.179,0.002,1,1,
Bristol-Myer Squibb,Muddy River,148,,,2834,N,001-Culvert btwn ponds,9/17/96,2.94,36,9/13/96,5.22,4,0.8,8.02,11,4,0.05,1.15,0.1,5,0.01,0.011,0.002,1,1,
Bristol-Myer Squibb,Muddy River,148,,,2834,N,Over Dam-BAK-001,9/17/96,2.94,36,9/13/96,5.22,4,0.8,7.84,8,1,0.05,1.1,0.1,20,0.007,0.006,0.008,1,1,
Browning-Ferris Ind. of CT,,124,,TRF,4212,Y,SW ,10/2/96,0.22,3,9/28/96,,4,61.5,5.96,211,35,0.28,1.59,0.2,340,0.051,0.273,0.026,1,0.32,
Bruce And Johnsons Marina Inc.,Branford River,14,,647,4493,Y,SD near B-Dock,10/8/96,1,10,,,,0.8,8.18,65,39,0.19,0.1,0.6,480,0.772,0.091,0.013,1,0.8,
Bruce Mfg.& Molding,Quinnipiac River,131,,218,3363,N,Outfall #02,10/2/96,0.53,2.5,9/24/96,7.3,8,3.6,7.02,19,9,0.16,1.2,0.3,0,0.014,0.116,0.002,1,1,
Bruce Mfg.& Molding,Quinnipiac River,131,,218,3363,N,Outfall #01,10/2/96,0.53,2.5,9/24/96,4.5,8,5.6,6.38,76,7,0.05,1.31,0.7,0,0.015,2.032,0.014,0.42,0.2,
BST Systems,Quinebaug,109,,653,3691,N,DSN-001,10/8/96,2,12,10/3/96,6.7,5,2,6.9,40,8,0.07,1.26,0.1,"1,000",0.33,0.1,0.005,1,0.81,
Burr's Yacht Haven,Thames River,95,,,4493,Y,,11/26/96,1.4,9,11/19/96,5.43,7,4,5.9,10,18,0.02,0.12,0.7,10,0.71,0.15,0.01,0.06,0.06,
Calamari Bros,Bently Creek,95,,138,5093,N,Outfall A(001),12/17/96,0.81,4,12/14/96,6.32,3,1.6,4.79,5,2,3.4,0.1,0.2,100,0.05,0.03,0.013,0.42,0.38,
Callaway Cars,,105,,,3711,N,Parking Lot,11/19/96,0.35,6,11/9/96,3.64,10,3,3.8,10,5,0.05,0.5,0.1,10,0.03,0.15,0.009,0.68,0.62,
Casco Products Corp.,West Branch Roadway Brook,15,,360,3714,N,Outfall 1,9/17/96,1.39,6,9/13/96,6.01,4,1,6.01,20,3,0.23,0.1,0.1,300,0.01,0.05,0.05,1,0.64,
Caval Tool Division,,94,,353,3724,N,257 Richard St,6/3/96,1,7,5/30/96,5,4,7,4.8,123,85,0.39,4.3,0.9,90,0.04,0.1,0.03,1,1,
Caval Tool Division,,94,,355,3724,N,665 New Britain Ave,6/3/96,1,7,5/30/96,5,4,5,5.4,137,57,0.31,2.2,0.3,100,0.06,0.19,0.03,1,1,
Cedar Island Marina,Clinton Harbor,27,,401,4493,Y,Storm #1,11/26/96,1.1,16,11/21/96,6.7,5,3.2,6.35,81,290,0.39,0.77,0.6,10,1.23,0.209,0.033,0.06,0.06,
Cedar Island Marina,Clinton Harbor,27,,401,4493,Y,Storm #2,11/26/96,1.1,16,11/21/96,6.7,5,1,6.64,51,194,0.33,0.65,0.6,520,0.684,0.148,0.026,0.12,0.08,
Cellu-Tissue,Hockanum River,43,,309,2621,N,SD to River #1,7/23/96,0.15,1,7/19/96,5.6,4,4,6.54,241,188,0.53,2.21,0.1,"6,000",0.033,0.298,0.03,1,1,
Century Graphics,Stoughton Brook,132,,686,2759,N,Outfall #1,12/12/96,0.15,4,12/7/96,6.4,5,5,6.4,19,6,0.02,0.22,0.2,10,0.01,0.03,0.03,1,1,
Champion Mfg.,,36,,1404,3499,N,,11/19/96,,,,5,,1.3,4.65,28,22,0.33,0.34,0.6,8,0.008,0.105,0.005,1,1,
Champion Mfg.,swale,36,4018,1404,3499,N,1,9/22/95,,,,,,5,5,74,59,0.12,2.49,3,"8,000",0.03,0.44,0.003,1,1,
Chandler Evans,Trout Brook,155,,391,3724,N,Storm sewer,9/13/96,0.16,14,9/7/96,7.1,6,2,7.8,30,6,0.63,5.46,3.9,"180,000",0.05,0.18,0.027,1,1,
Charles W. House & Sons,Farmington River,52,,190,2231,N,2,10/8/96,2.05,13,10/2/96,6.9,6,5,6.1,97,66,0.94,4.2,0.6,"10,000",0.068,0.21,0.027,1,1,
Charles W. House & Sons,Farmington River,52,,190,2231,N,1,10/8/96,2.05,13,10/2/96,6.9,6,5,5.5,140,104,0.97,3.1,1.3,"1,100",0.11,0.198,0.035,0.74,0.54,
Chesebrough Ponds,trib to Hammonasett River,27,,808,2844,N,S001-Storm Drain,9/13/96,0.2,2,9/6/96,6.2,7,7,6.55,429,130,1.66,3.91,2.9,"4,700",0.06,0.23,0.006,1,1,
